Record.ID,e,word,accuracy,cognate,diff
BUBA020,eng,comb,0,0,1
BUBA020,eng,flower,0,1,1
BUBA020,eng,helicopter,0,1,2
BUBA020,eng,broom,0,0,2
BUBA020,eng,octopus,0,0,2
BUBA020,eng,mushroom,0,0,2
BUBA020,eng,hanger,0,0,2
BUBA020,eng,wheelchair,0,0,2
BUBA020,eng,camel,0,1,2
BUBA020,eng,mask,0,1,2
BUBA020,eng,racquet,0,1,3
BUBA020,eng,snail,0,0,3
BUBA020,eng,volcano,0,1,3
BUBA020,eng,seahorse,0,0,3
BUBA020,eng,dart,0,1,3
BUBA020,eng,canoe,0,1,3
BUBA020,eng,wreath,0,0,3
BUBA020,eng,beaver,0,0,3
BUBA020,eng,harmonica,0,1,3
BUBA020,eng,rhinoceros,0,1,4
BUBA020,eng,acorn,0,0,4
BUBA020,eng,igloo,0,1,4
BUBA020,eng,stilts,0,0,4
BUBA020,eng,dominos,0,1,4
BUBA020,eng,harp,0,1,4
BUBA020,eng,hammock,0,1,4
BUBA020,eng,knocker,0,0,4
BUBA020,eng,pyramid,0,1,5
BUBA020,eng,muzzle,0,0,5
BUBA020,eng,unicorn,0,1,5
BUBA020,eng,funnel,0,0,5
BUBA020,eng,accordion,0,1,5
BUBA020,eng,noose,0,0,5
BUBA020,eng,asparagus,0,1,5
BUBA020,eng,compass,0,1,5
BUBA020,eng,latch,0,0,6
BUBA020,eng,tripod,0,1,6
BUBA020,eng,scroll,0,0,6
BUBA020,eng,tongs,0,0,6
BUBA020,eng,sphinx,0,1,6
BUBA020,eng,yoke,0,0,6
BUBA020,eng,trellis,0,0,6
BUBA020,eng,protractor,0,0,6
BUBA020,eng,abacus,0,1,6
BUBA024,eng,comb,1,0,1
BUBA024,eng,flower,1,1,1
BUBA024,eng,helicopter,1,1,2
BUBA024,eng,broom,1,0,2
BUBA024,eng,octopus,1,0,2
BUBA024,eng,mushroom,1,0,2
BUBA024,eng,hanger,1,0,2
BUBA024,eng,wheelchair,1,0,2
BUBA024,eng,camel,1,1,2
BUBA024,eng,mask,0,1,2
BUBA024,eng,racquet,1,1,3
